REG_ID,SEC_CUR_STAT,SEC_NAME,SEC_TITLE,Days,Time,Faculty,SeatsAvailableScheduledCapacity,CR_MIN,CR_MAX,Textbox8
91210,Active,MUS-120-49,Perf: Baritone Horn,AR  ,,"Parker, Robert C ",3  /3  ,1.00000,,RECORD COUNT 702
91182,Active,MUS-120-91,Perf: Guitar,AR  ,,"Staff, - ",48 /60 ,1.00000,,RECORD COUNT 702
91185,Active,MUS-120-92,Perf: Piano,AR  ,,"Staff, - ",4  /20 ,1.00000,,RECORD COUNT 702
91195,Active,MUS-120-93,Perf: Violin,AR  ,,"Staff, - ",9  /10 ,1.00000,,RECORD COUNT 702
91186,Active,MUS-120-94,Perf: Voice,AR  ,,"Staff, - ",8  /20 ,1.00000,,RECORD COUNT 702
91282,Active,MUS-122-20A,Perf: Group Piano,T  ,11:00 AM - 11:50 AM  ,"Westphalen, Melinda ",20 /20 ,1.00000,,RECORD COUNT 702
91283,Active,MUS-122-20B,Perf: Group Piano,T  ,2:00 PM  - 2:50 PM  ,"Westphalen, Melinda ",20 /20 ,1.00000,,RECORD COUNT 702
91485,Active,MUS-201-01,Music Interdisciplinary Cnvrs,TTH  ,8:30 AM  - 9:50 AM  ,"Cha, Jee-Weon ",20 /20 ,4.00000,,RECORD COUNT 702
91167,Cancelled,MUS-201-02,Broadway Musical Theatre,MWF  ,9:00 AM  - 9:50 AM  ,"Brown, Jennifer Williams ",20 /20 ,4.00000,,RECORD COUNT 702
91382,Active,MUS-202-01,Broadway Theatre,MWF  ,9:00 AM  - 9:50 AM  ,"Brown, Jennifer Williams ",12 /20 ,4.00000,,RECORD COUNT 702
91168,Active,MUS-202-02,Country Music,MWF  ,11:00 AM - 11:50 AM  ,"Laver, Mark ",25 /25 ,4.00000,,RECORD COUNT 702
91169,Active,MUS-217-01,Conducting,MW  ,1:00 PM  - 2:20 PM  ,"McIntyre, Eric L ",16 /18 ,4.00000,,RECORD COUNT 702
91170,Active,MUS-219-01,Electronic Music,MWF  ,3:00 PM  - 3:50 PM  ,"Hiranmayena, I Putu Tangkas Adi ",-2 /12 ,4.00000,,RECORD COUNT 702
91211,Active,MUS-220-01,Perf: Adv Violin,AR  ,,"Finkelshteyn, Tracy V ",20 /20 ,2.00000,,RECORD COUNT 702
91776,Active,MUS-220-02,Perf: Adv Voice,AR  ,,"Whitney, Mackenzie ",20 /20 ,2.00000,,RECORD COUNT 702
91212,Active,MUS-220-03,Perf: Adv Trombone,AR  ,,"Parker, Robert C ",20 /20 ,2.00000,,RECORD COUNT 702
91213,Active,MUS-220-04,Perf: Adv French Horn,AR  ,,"Wallace, Guinevere ",20 /20 ,2.00000,,RECORD COUNT 702
91214,Active,MUS-220-05,Perf: Adv Trumpet,AR  ,,"Swartz, Craig L ",20 /20 ,2.00000,,RECORD COUNT 702
91215,Active,MUS-220-06,Perf: Adv Bagpipes,AR  ,,"Clower, Robert P ",20 /20 ,2.00000,,RECORD COUNT 702
91216,Active,MUS-220-07,Perf: Adv Saxaphone,AR  ,,"Smith, Ryan J ",20 /20 ,2.00000,,RECORD COUNT 702
91217,Active,MUS-220-08,Perf: Adv Percussion,AR  ,,"Ramirez, Stacey ",12 /12 ,2.00000,,RECORD COUNT 702
91218,Active,MUS-220-09,Perf: Clarinet,AR  ,,"Smith, Ryan J ",20 /20 ,2.00000,,RECORD COUNT 702
91219,Active,MUS-220-10,Perf: Adv Jazz Saxophone,AR  ,,"Smith, Ryan J ",20 /20 ,2.00000,,RECORD COUNT 702
91220,Active,MUS-220-11,Perf: Adv Guitar,AR  ,,"Smith, Rex Patrick ",20 /20 ,2.00000,,RECORD COUNT 702
91221,Active,MUS-220-12,Perf: Adv Harpsichord,AR  ,,"Brown, Jennifer Williams ",20 /20 ,2.00000,,RECORD COUNT 702
91222,Active,MUS-220-13,Perf: Adv Voice,AR  ,,"Mayne, Taylor J ",20 /20 ,2.00000,,RECORD COUNT 702
91223,Active,MUS-220-14,Perf: Adv Piano,AR  ,,"Messerschmitt, Nicole C ",20 /20 ,2.00000,,RECORD COUNT 702
91224,Active,MUS-220-15,Perf: Adv Voice,AR  ,,"Lommler, Suzanne ",20 /20 ,2.00000,,RECORD COUNT 702
91225,Active,MUS-220-16,Perf: Adv Banjo,AR  ,,"Buck, Fred L ",20 /20 ,2.00000,,RECORD COUNT 702
